STT	slug
1999	hao-quang
2000	be-canh
2001	o-be
2003	dung-bong
2004	phao-dai
2006	so-ma
2009	giac-mac
2010	an-manh
2012	co-gau
2013	ep-duyen
2015	khi-gio
2016	cao-bach
2017	hanh-le
2018	nhan-cau
2021	diep-bao
2022	tay-nai
2023	nuoc-noi
2024	choi-chu
2025	canh-bac
2026	nup-bong
2027	vang-son
2029	cao-thi
2030	mang-da
2031	moc-tui
2033	giap-ngo
2034	cam-ca
2035	rau-ngo
2037	dong-ca
2038	ca-kiem
2039	diem-nong
2040	tay-nao
2041	trong-rang
2042	thanh-bach
2044	hau-bao
2045	thuoc-lao
2046	thap-thoang
2048	ve-van
2049	tap-quan
2050	giao-diem
2052	tiem-chich
2053	thuoc-thang
2054	chan-cau
2055	den-dau
2056	tach-bach
2057	le-duong
2058	thong-diep
2059	cong-nguyen
2060	xa-lac
2061	khai-mac
2062	trach-moc
2063	ky-tich
2065	chong-doi
2066	ca-phao
2067	chan-ly
2068	ho-do
2070	tu-biet
2072	cuop-cong
2073	sau-xa
2075	sao-mai
2077	canh-canh
2078	bo-buoc
2079	thua-co
2080	dong-bong
2082	binh-thu
2084	ke-cong
2085	ky-si
2086	cau-canh
2088	quan-cach
2089	diem-vuong
2091	hoi-xoay
2092	cong-duong
2093	gia-truyen
2094	rut-ruot
2095	hong-quan
2096	hanh-tau
2097	duong-mat
2098	tieu-nhi
2099	cham-choc
2104	lau-la
2105	bai-ban
2106	thuong-vien
2107	tu-tinh
2108	thien-vi
2109	tam-benh
2110	keo-le
2113	nguyet-thuc
2114	bay-tinh
2115	bat-nhan
2117	te-tai
2120	yeu-quai
2121	quy-uoc
2122	nghe-nhan
2123	tuong-truyen
2124	that-thu
2126	thien-tu
2128	yeu-tim
2131	long-bao
2133	xe-phao
2135	hut-hon
2136	ly-gian
2137	quy-cai
2138	rach-muop
2139	cao-tu
2142	hinh-tuong
2144	phai-cam
2146	chi-giao
2147	lac-dan
2148	mo-vang
2149	dien-luoi
2150	phai-gio
2151	loc-lua
2152	nha-cai
2153	gia-tien
2154	ke-chan
2157	dien-kien
2158	dao-dong
2159	hanh-tung
2161	hong-ngoai
2163	cong-doan
2166	chieu-le
2167	giay-dau
2169	vien-thi
2170	hao-hoa
2171	man-bac
2172	chieu-tuong
2173	hoc-ham
2174	yeu-nhan
2176	chai-mat
2177	than-than
2179	hoc-gia
2180	so-suat
2181	kim-tuyen
2182	sanh-soi
2183	cao-diem
2184	ao-bong
2186	chuot-tui
2188	gian-doan
2189	meo-muop
2190	vo-bo
2193	mau-hau
2194	nuoc-cot
2196	tu-phap
2197	tro-he
2198	dan-tranh
2199	kiem-song
2200	mat-net
2201	my-quan
2202	gieng-khoan
2203	mit-tinh
2205	phao-sang
2207	giay-dinh
2208	doi-ca
2209	to-yen
2210	quy-tap
2211	trang-le
2212	but-muc
2213	mo-dau
2214	canh-cao
2215	ly-than
2216	bop-co
2217	phong-thuy
2218	san-ga
2219	cong-trang
2221	trai-y
2226	kem-cap
2229	chien-hao
2231	vach-mat
2232	thong-thoai
2234	kieu-bao
2235	sac-sao
2236	that-bat
2237	phong-thuy
2238	long-hanh
2239	to-tong
2240	sac-phong
2241	nang-ganh
2242	dia-dem
2243	pha-le
2244	truong-ton
2246	tam-tu
2247	dieu-dong
2249	ma-luc
2250	giang-son
2252	tien-biet
2253	banh-hoi
2254	bi-tham
2255	hong-phuc
2256	ket-lieu
2257	bang-nhan
2258	ghe-ngua
2259	lan-song
2260	nhac-do
2262	kinh-dien
2263	giay-than
2264	tho-de
2265	sat-sao
2266	thuong-tam
2267	thanh-thi
2268	bach-kim
2269	than-thoai
2270	bach-nghe
2271	danh-vong
2272	vang-ma
2273	bien-thai
2274	phat-kien
2275	mit-uot
2276	cau-am
2277	dan-da
2278	dieu-hanh
2279	cam-sat
2280	cao-giac
2281	nien-han
2282	cau-gio
2283	cat-thuoc
2284	mat-bao
2285	lac-hau
2286	hong-hao
2287	cao-sieu
2289	ga-mo
2290	xuan-sac
2292	tuong-quan
2293	bom-bi
2294	suoi-vang
2295	ao-anh
2296	tam-tien
2299	moc-ngoac
2302	ngoc-hoang
2303	lien-tuong
2304	lien-tinh
2305	giao-an
2306	khoa-co
2307	dam-sen
2308	tai-le
2309	diep-luc
2310	muoi-mat
2311	kinh-nien
2312	bong-lau
2313	nhac-vien
2314	bo-cao
2315	an-treo
2316	kinh-bao
2317	bach-thao
2318	ky-ket
2319	tieu-dieu
2320	that-thu
2321	nong-may
2322	thanh-cao
2323	banh-lai
2325	cau-vien
2327	sau-do
2328	lat-long
2329	bong-lon
2330	cao-lao
2331	yen-nghi
2332	su-thai
2333	canh-tinh
2334	bang-hoang
2335	thong-ke
2336	tap-am
2338	phan-biet
2339	tai-bien
2340	cao-co
2341	trang-si
2342	thi-phi
2343	lo-tay
2344	nhan-tam
2345	cam-do
2346	phat-long
2347	thong-gia
2348	cong-tam
2350	do-van
2351	dau-doc
2352	le-la
2354	yen-than
2355	phuong-vi
2358	lam-ly
2359	ton-chi
2360	phong-hoa
2361	tinh-thong
2363	bat-chinh
2364	mat-ke
2365	hang-so
2366	phe-binh
2367	truc-nhat
2368	lang-kinh
2369	bien-ap
2370	dao-chinh
2371	song-hanh
2372	ngoc-nga
2373	tam-benh
2374	tam-huyet
2375	dia-chu
2376	gia-cong
2377	ngu-truong
2378	mang-luoi
2379	lo-xa
2382	lang-xang
2383	tu-tu
2384	hon-hau
2385	vang-son
2388	mai-mot
2390	tinh-binh
2392	cong-coc
2393	ky-quan
2394	bao-che
2395	cao-sieu
2396	to-giac
2397	co-mat
2398	thua-ke
2399	buon-tham
2400	khoan-thai
2401	son-trai
2402	trai-tinh
2403	tieu-su
2404	lo-dien
2405	to-cao
2406	quan-than
2407	quy-ke
2408	sau-nang
2411	ha-sach
2413	thanh-kien
2414	cau-canh
2415	ton-sung
2416	ky-cong
2417	dan-ap
2419	dam-bac
2420	tinh-anh
2422	tat-thang
2423	mat-that
2424	bong-lon
2425	benh-binh
2426	phan-tam
2427	tinh-ke
2428	thien-co
2429	tam-nguyen
2432	tu-quy
2433	quy-tien
2434	len-dong
2435	bac-tinh
2436	gio-vang
2438	co-may
2439	vat-vo
2440	thien-dinh
2441	uu-tu
2443	dong-duong
2444	y-thuc
2446	thanh-kinh
2447	ky-bi
2448	chan-khong
2449	hong-thuy
2450	tam-can
2451	than-khoc
2455	lam-bon
2456	cuu-canh
2457	moc-ham
2458	dia-oc
2459	kinh-hon
2461	ham-y
2462	tan-ta
2463	vang-doi
2464	cao-tu
2465	tuong-trinh
2468	dua-day
2469	cuu-te
2471	chon-loc
2472	thu-tinh
2473	na-na
2474	cau-ket
2475	tiep-tay
2476	tot-so
2477	cham-tran
2478	nhe-da
2479	hung-tan
2481	tan-tich
2482	ngang-tan
2483	sat-nut
2484	tung-tich
2485	nhan-tran
2486	chinh-quy
2487	can-truong
2488	tham-tam
2489	cao-trang
2490	tan-du
2491	nghich-canh
2493	hoanh-hanh
2494	cam-quan
2495	cup-cua
2496	ma-vang
2497	tuong-thuat
2498	ghe-nong
2500	hanh-tung
2501	danh-dong
2502	cat-ngang
2503	cau-le
2504	tu-phu
2506	bang-ha
2507	keo-son
2508	chinh-dien
2509	sao-rong
2510	day-dua
2511	cam-kich
2513	bao-vay
2514	chieu-bong
2515	chinh-kien
2517	chai-mat
2518	cam-cua
2520	sao-rong
2522	day-dua
2524	bao-vay
2525	chinh-kien
2528	chai-mat
2530	kho-than
2531	chet-dung
2532	thoi-co
2533	canh-me
2534	yeu-tim
2536	thu-tieu
2537	giay-vo
2538	cao-buoc
2539	lua-tinh
2540	chi-huong
2542	gia-nai
2543	kich-tinh
2544	cu-hanh
2545	vay-canh
2546	huy-dong
2547	vo-vit
2548	cai-trang
2549	kinh-dien
2550	be-mac
2551	kinh-bao
2552	chieu-le
2553	hoa-le
2554	kinh-bao
2555	lo-cot
2556	dieu-dong
2557	lau-son
2558	tuong-thanh
2559	bach-tinh
2560	cua-bien
2561	mat-hut
2562	gioi-tu
2563	quy-tu
2567	quy-su
2570	so-mang
2571	dap-vit
2572	tau-thoat
2578	cot-cach
2579	tranh-cu
2581	u-me
2582	tu-biet
2584	trung-hau
2585	cham-cuu
2586	cau-am
2587	ly-tan
2588	hinh-bong
2589	canh-bac
2591	noi-gian
2592	an-mang
2594	ao-nao
2595	be-quan
2597	cai-chinh
2601	phan-khuc
2603	hinh-chieu
2604	dieu-tan
2608	nghich-ly
2609	vo-than
2610	trung-tinh
2611	giai-han
2612	ban-giao
2614	coc-loc
2615	hoa-thach
2616	cot-truyen
2617	phan-dong
2618	hung-ho
2619	trang-hoa
2620	bay-buom
2622	e-ngai
2623	phan-doan
2625	but-tich
2626	luu-dan
2627	tm-tim
2629	giai-ngu
2630	but-toan
2633	hau-cung
2634	hau-bao
2635	chot-da
2636	lao-gia
2638	phan-luc
2639	tam-giao
2640	hanh-tau
2641	ky-quai
2642	ky-thu
2644	thien-van
2649	hac-am
2650	chai-mat
2651	vat-vo
2652	hoa-giai
2653	roi-ram
2654	thu-tieu
2655	hanh-khat
2656	muoi-mat
2657	co-cuc
2658	nang-noi
2659	ho-lao
2660	nhan-to
2661	dong-tinh
2662	cuu-van
2663	canh-phong
2664	do-don
2665	cam-go
2666	cam-nang
2667	that-thu
2668	vuot-rao
2669	dong-duong
2670	chay-chua
2672	xe-ngua
2673	mat-goc
2674	tro-trong
2675	thang-thien
2676	dai-nhan
2677	chu-noi
2678	tien-le
2679	cong-luc
2680	can-quet
2681	dao-chich
2683	tran-trui
2684	bi-an
2686	may-no
2687	thoat-ly
2690	te-tat
2691	cong-can
2692	nhan-qua
2693	binh-bau
2694	chu-nho
2702	kien-tap
2800	da-ta
2801	hac-lao
2802	quai-bi
2803	cao-hoc
2804	lan-can
2806	bat-loi
2807	phuc-hau
